name,value
Barking and Dagenham,4
Barnet,14
Barnsley,2
Bath and North East Somerset,0
Bedford,0
Bexley,1
Birmingham,2
Blackburn with Darwen,0
Blackpool,2
Bolton,3
"Bournemouth, Christchurch and Poole",3
Bracknell Forest,4
Bradford,4
Brent,4
Brighton and Hove,9
"Bristol, City of",5
Bromley,4
Buckinghamshire,7
Bury,3
Calderdale,2
Cambridgeshire,1
Camden,13
Central Bedfordshire,0
Cheshire East,0
Cheshire West and Chester,3
Cornwall and Isles of Scilly,5
County Durham,1
Coventry,3
Croydon,1
Cumbria,8
Darlington,0
Derby,1
Derbyshire,4
Devon,14
Doncaster,0
Dorset,1
Dudley,4
Ealing,8
East Riding of Yorkshire,1
East Sussex,0
Enfield,2
Essex,9
Gateshead,1
Gloucestershire,5
Greenwich,1
Hackney and City of London,5
Halton,0
Hammersmith and Fulham,5
Hampshire,20
Haringey,3
Harrow,2
Hartlepool,0
Havering,1
"Herefordshire, County of",1
Hertfordshire,20
Hillingdon,4
Hounslow,5
Isle of Wight,1
Islington,1
Kensington and Chelsea,21
Kent,11
"Kingston upon Hull, City of",1
Kingston upon Thames,2
Kirklees,1
Knowsley,0
Lambeth,9
Lancashire,6
Leeds,7
Leicester,2
Leicestershire,3
Lewisham,5
Lincolnshire,1
Liverpool,8
Luton,3
Manchester,7
Medway,2
Merton,4
Middlesbrough,0
Milton Keynes,2
Newcastle upon Tyne,5
Newham,0
Norfolk,0
North East Lincolnshire,0
North Lincolnshire,1
North Somerset,0
North Tyneside,3
North Yorkshire,4
Northamptonshire,6
Northumberland,0
Nottingham,5
Nottinghamshire,6
Oldham,6
Oxfordshire,22
Peterborough,1
Plymouth,1
Portsmouth,0
Reading,3
Redbridge,1
Redcar and Cleveland,0
Richmond upon Thames,1
Rochdale,2
Rotherham,1
Rutland,0
Salford,0
Sandwell,0
Sefton,1
Sheffield,3
Shropshire,3
Slough,2
Solihull,0
Somerset,1
South Gloucestershire,1
South Tyneside,0
Southampton,0
Southend-on-Sea,2
Southwark,13
St. Helens,0
Staffordshire,4
Stockport,2
Stockton-on-Tees,2
Stoke-on-Trent,0
Suffolk,1
Sunderland,1
Surrey,16
Sutton,6
Swindon,2
Tameside,1
Telford and Wrekin,0
Thurrock,0
Torbay,7
Tower Hamlets,6
Trafford,5
Wakefield,0
Walsall,1
Waltham Forest,1
Wandsworth,7
Warrington,1
Warwickshire,4
West Berkshire,1
West Sussex,4
Westminster,13
Wigan,3
Wiltshire,4
Windsor and Maidenhead,4
Wirral,5
Wokingham,4
Wolverhampton,8
Worcestershire,2
York,4
