areacd,areanm,cases
E06000001,Hartlepool,0
E06000002,Middlesbrough,0
E06000003,Redcar and Cleveland,0
E06000004,Stockton-on-Tees,2
E06000005,Darlington,0
E06000006,Halton,0
E06000007,Warrington,1
E06000008,Blackburn with Darwen,0
E06000009,Blackpool,0
E06000010,"Kingston upon Hull, City of",1
E06000011,East Riding of Yorkshire,0
E06000012,North East Lincolnshire,0
E06000013,North Lincolnshire,1
E06000014,York,3
E06000015,Derby,1
E06000016,Leicester,0
E06000017,Rutland,0
E06000018,Nottingham,3
E06000019,"Herefordshire, County of",1
E06000020,Telford and Wrekin,0
E06000021,Stoke-on-Trent,0
E06000022,Bath and North East Somerset,0
E06000023,"Bristol, City of",3
E06000024,North Somerset,0
E06000025,South Gloucestershire,1
E06000026,Plymouth,0
E06000027,Torbay,7
E06000030,Swindon,2
E06000031,Peterborough,1
E06000032,Luton,2
E06000033,Southend-on-Sea,1
E06000034,Thurrock,0
E06000035,Medway,2
E06000036,Bracknell Forest,2
E06000037,West Berkshire,0
E06000038,Reading,0
E06000039,Slough,1
E06000040,Windsor and Maidenhead,1
E06000041,Wokingham,3
E06000042,Milton Keynes,2
E06000043,Brighton and Hove,8
E06000044,Portsmouth,0
E06000045,Southampton,0
E06000046,Isle of Wight,1
E06000047,County Durham,1
E06000049,Cheshire East,0
E06000050,Cheshire West and Chester,0
E06000051,Shropshire,2
E06000052,Cornwall and Isles of Scilly,5
E06000054,Wiltshire,4
E06000055,Bedford,0
E08000009,Trafford,4
E06000056,Central Bedfordshire,0
E06000057,Northumberland,0
E06000058,"Bournemouth, Christchurch and Poole",3
E06000059,Dorset,0
E08000001,Bolton,3
E08000002,Bury,3
E08000003,Manchester,5
E08000004,Oldham,4
E08000005,Rochdale,1
E08000006,Salford,0
E08000007,Stockport,0
E08000008,Tameside,1
E08000010,Wigan,3
E08000011,Knowsley,0
E08000012,Liverpool,6
E08000013,St. Helens,0
E08000014,Sefton,1
E08000015,Wirral,2
E08000016,Barnsley,2
E08000017,Doncaster,0
E08000018,Rotherham,1
E08000019,Sheffield,1
E08000021,Newcastle upon Tyne,6
E08000022,North Tyneside,2
E08000023,South Tyneside,0
E08000024,Sunderland,1
E08000025,Birmingham,2
E08000026,Coventry,3
E08000027,Dudley,1
E08000028,Sandwell,0
E08000029,Solihull,0
E08000030,Walsall,0
E08000031,Wolverhampton,4
E08000032,Bradford,1
E08000033,Calderdale,0
E08000034,Kirklees,1
E08000035,Leeds,5
E08000036,Wakefield,0
E08000037,Gateshead,0
E09000002,Barking and Dagenham,1
E09000003,Barnet,8
E09000004,Bexley,0
E09000005,Brent,3
E09000006,Bromley,2
E09000007,Camden,7
E09000008,Croydon,1
E09000009,Ealing,5
E09000010,Enfield,1
E09000011,Greenwich,1
E09000012,Hackney and City of London,4
E09000013,Hammersmith and Fulham,3
E09000014,Haringey,1
E09000015,Harrow,1
E09000016,Havering,2
E09000017,Hillingdon,3
E09000018,Hounslow,5
E09000019,Islington,1
E09000020,Kensington and Chelsea,15
E09000021,Kingston upon Thames,1
E09000022,Lambeth,5
E09000023,Lewisham,3
E09000024,Merton,2
E09000025,Newham,0
E09000026,Redbridge,1
E09000027,Richmond upon Thames,1
E09000028,Southwark,9
E09000029,Sutton,4
E09000030,Tower Hamlets,4
E09000031,Waltham Forest,1
E09000032,Wandsworth,3
E09000033,Westminster,6
E10000002,Buckinghamshire,2
E10000003,Cambridgeshire,1
E10000006,Cumbria,7
E10000007,Derbyshire,4
E10000008,Devon,13
E10000011,East Sussex,0
E10000012,Essex,6
E10000013,Gloucestershire,4
E10000014,Hampshire,13
E10000015,Hertfordshire,18
E10000016,Kent,5
E10000017,Lancashire,5
E10000018,Leicestershire,2
E10000019,Lincolnshire,1
E10000020,Norfolk,0
E10000021,Northamptonshire,5
E10000023,North Yorkshire,0
E10000024,Nottinghamshire,6
E10000025,Oxfordshire,9
E10000027,Somerset,2
E10000028,Staffordshire,4
E10000029,Suffolk,1
E10000030,Surrey,10
E10000031,Warwickshire,4
E10000032,West Sussex,3
E10000034,Worcestershire,0
